LibSize,x:y,y:x,pair_name,E
130,0.31673268739269816,0.09963478208890032,ssm_fpar,7
140,0.31761352301214363,0.10065038851636744,ssm_fpar,7
150,0.3220385319961916,0.10746109033357057,ssm_fpar,7
10,0.13735613654468348,0.022830217078780028,ssm_fpar,8
20,0.1628875126989184,0.03233694883378529,ssm_fpar,8
30,0.19431277334988356,0.041506900461162274,ssm_fpar,8
40,0.20517912987512674,0.05100729543183478,ssm_fpar,8
50,0.23522882734047823,0.05739169452917507,ssm_fpar,8
60,0.2443693686579774,0.06801745612294466,ssm_fpar,8
70,0.2493589904477876,0.06879259411255834,ssm_fpar,8
80,0.268275411451889,0.0753286947293192,ssm_fpar,8
90,0.2815209678846773,0.08563501909221526,ssm_fpar,8
100,0.2857339337972434,0.09230118871936456,ssm_fpar,8
110,0.2910132948860987,0.09358688898398791,ssm_fpar,8
120,0.30959922172090665,0.09431852106310495,ssm_fpar,8
130,0.32087530752919285,0.10581313822124933,ssm_fpar,8
140,0.3208695014150452,0.10515168359891486,ssm_fpar,8
150,0.3274741475030501,0.10953556868437361,ssm_fpar,8
