LibSize,x:y,y:x,pair_name,E
150,0.44446825326254696,0.3975879366398997,ssm_yield,4
10,0.30918355664260155,0.3353271771790005,ssm_yield,5
20,0.3555700281848902,0.3785801436507213,ssm_yield,5
30,0.3929088725340153,0.403297847213043,ssm_yield,5
40,0.4138589947654944,0.4101825746550151,ssm_yield,5
50,0.4091043196869738,0.4119153056334755,ssm_yield,5
60,0.41841343876309794,0.40874800622708124,ssm_yield,5
70,0.4191764551213929,0.4299916888472171,ssm_yield,5
80,0.4253714305008573,0.40862048848656224,ssm_yield,5
90,0.4379897294886698,0.4217264267735053,ssm_yield,5
100,0.44672932379230235,0.41753412902074993,ssm_yield,5
110,0.44188559951632955,0.4196055532768305,ssm_yield,5
120,0.4503631357263586,0.42004623812812625,ssm_yield,5
130,0.45866323092099043,0.42640943844886037,ssm_yield,5
140,0.4603855363224655,0.42376672024762213,ssm_yield,5
150,0.46769212508630176,0.4270441690521414,ssm_yield,5
10,0.31964430318062725,0.35069381938747596,ssm_yield,6
20,0.38107228414652483,0.39196099854606553,ssm_yield,6
30,0.41628311704078463,0.41401485939051114,ssm_yield,6
40,0.43678415934081327,0.42849131734200013,ssm_yield,6
50,0.430223307713048,0.4347682966353025,ssm_yield,6
60,0.4380387492475512,0.4295421681232636,ssm_yield,6
70,0.4478458886731284,0.4455374270234316,ssm_yield,6
80,0.4358758506100897,0.42950686004210553,ssm_yield,6
90,0.46142096348815037,0.4434253097901997,ssm_yield,6
100,0.4697621217565394,0.4433637932748885,ssm_yield,6
110,0.4636743448595613,0.44353665598237385,ssm_yield,6
120,0.47468599709167786,0.44191483281972976,ssm_yield,6
130,0.4826812871122558,0.44728318633128583,ssm_yield,6
140,0.48170055263509115,0.44541279825215974,ssm_yield,6
150,0.48895043815133626,0.45221671038924094,ssm_yield,6
10,0.3097877731484206,0.3463719386740156,ssm_yield,7
20,0.390392948219034,0.41054139832068887,ssm_yield,7
30,0.43540416219078787,0.42934585292814703,ssm_yield,7
40,0.45556974214329016,0.44208642692198735,ssm_yield,7
50,0.44991848095849213,0.4398225208802009,ssm_yield,7
60,0.4496881033810603,0.4410347011177686,ssm_yield,7
70,0.4655421474484986,0.4550976962669362,ssm_yield,7
80,0.45670131391276003,0.44279395326709237,ssm_yield,7
90,0.47529320293638433,0.4512319795524281,ssm_yield,7
100,0.4770732827441322,0.45499780521816824,ssm_yield,7
110,0.4768169304257178,0.4554028801102121,ssm_yield,7
120,0.4850332001788903,0.4527206289491933,ssm_yield,7
130,0.49664045147763436,0.45530733556710046,ssm_yield,7
140,0.492041647763306,0.45841186546504326,ssm_yield,7
150,0.5023221323075533,0.46345940606887287,ssm_yield,7
10,0.3218635852118601,0.39388359076645335,ssm_yield,8
20,0.40970683324860535,0.4150406564672023,ssm_yield,8
30,0.446653105316504,0.4395763580713896,ssm_yield,8
40,0.4576197477368863,0.4486751603487966,ssm_yield,8
50,0.4545594051168421,0.4490828619715582,ssm_yield,8
60,0.4595315546942346,0.4493648346928274,ssm_yield,8
70,0.4746009107094031,0.45945585559440394,ssm_yield,8
80,0.470044814133268,0.45316164902508677,ssm_yield,8
90,0.48299880434526005,0.4543267082750429,ssm_yield,8
100,0.47950854566479884,0.4626944385700184,ssm_yield,8
110,0.4862390043581405,0.46401146364440904,ssm_yield,8
120,0.4956366814193535,0.46494951958729663,ssm_yield,8
130,0.5046775067330016,0.4645769635454384,ssm_yield,8
140,0.5052710140139738,0.46659569104225523,ssm_yield,8
150,0.5140121137435171,0.4730629314006364,ssm_yield,8
