LibSize,avg_ssm_z:avg_ndvi_z,avg_ndvi_z:avg_ssm_z,pair_name,adm_id,E,x_col,y_col,avg_ssm_z:avg_fpar_z,avg_fpar_z:avg_ssm_z,avg_ssm_z:yield_z,yield_z:avg_ssm_z,avg_rsm_z:avg_ndvi_z,avg_ndvi_z:avg_rsm_z,avg_rsm_z:avg_fpar_z,avg_fpar_z:avg_rsm_z,avg_rsm_z:yield_z,yield_z:avg_rsm_z,avg_tavg_z:avg_cwb_z,avg_cwb_z:avg_tavg_z,avg_prec_z:yield_z,yield_z:avg_prec_z
10,0.4344493134348907,0.4035813585709853,avg_ssm_avg_ndvi,IN-02-0929,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.23876827786686405,0.441124058564899,avg_ssm_avg_ndvi,IN-02-0930,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.3085408183153886,0.302718969288421,avg_ssm_avg_ndvi,IN-02-0930,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.15779538655390296,-0.13361224531424154,avg_ssm_avg_ndvi,IN-02-0931,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.14025072955163848,-0.18920985691820835,avg_ssm_avg_ndvi,IN-02-0931,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.24679031733219775,0.007375182957372406,avg_ssm_avg_ndvi,IN-02-0932,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.1957770202416824,-0.10592272272548256,avg_ssm_avg_ndvi,IN-02-0932,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.2854188627508703,-0.16293718333903806,avg_ssm_avg_ndvi,IN-02-0934,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.3450603082236914,-0.1085945909269039,avg_ssm_avg_ndvi,IN-02-0934,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.338063269567144,0.12308401463213507,avg_ssm_avg_ndvi,IN-02-0935,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.46897856529228416,0.20603267976181733,avg_ssm_avg_ndvi,IN-02-0935,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.43631831112808717,0.41947588452052675,avg_ssm_avg_ndvi,IN-02-0936,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.6734282431559517,0.6061461464211891,avg_ssm_avg_ndvi,IN-02-0936,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.5050740841458621,0.1604428494715077,avg_ssm_avg_ndvi,IN-02-0945,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.5950560322762921,0.25918701859839954,avg_ssm_avg_ndvi,IN-02-0945,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.1453495194620234,0.19980732185757635,avg_ssm_avg_ndvi,IN-02-0946,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.040514501627057775,0.5982036379742105,avg_ssm_avg_ndvi,IN-02-0946,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.2618572971087202,-0.32888988907314765,avg_ssm_avg_ndvi,IN-02-0947,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.28169530050715985,-0.13872462069447863,avg_ssm_avg_ndvi,IN-02-0947,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.020370841959210892,-0.39602875575061397,avg_ssm_avg_ndvi,IN-02-0948,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.011714755690742129,-0.5524067377476565,avg_ssm_avg_ndvi,IN-02-0948,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.22426615913125914,-0.2594838695384464,avg_ssm_avg_ndvi,IN-02-0949,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.04475552542732636,-0.28493900594925975,avg_ssm_avg_ndvi,IN-02-0949,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.12256850325351001,-0.5113272009269592,avg_ssm_avg_ndvi,IN-02-0950,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.16145122604883724,-0.7318258645451392,avg_ssm_avg_ndvi,IN-02-0950,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.5701626388812568,0.1621698759898301,avg_ssm_avg_ndvi,IN-02-0951,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.7908401525695601,0.26226648196937574,avg_ssm_avg_ndvi,IN-02-0951,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.2068373137736937,-0.04555660600394247,avg_ssm_avg_ndvi,IN-02-0956,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.06216527465616491,-0.42002189798008194,avg_ssm_avg_ndvi,IN-02-0956,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.32586104635240176,-0.3766095718797434,avg_ssm_avg_ndvi,IN-02-0958,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.47124089352606446,-0.6155857238755654,avg_ssm_avg_ndvi,IN-02-0958,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.23957952159222068,0.4716077637838608,avg_ssm_avg_ndvi,IN-02-0960,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.32674820072242194,0.5719417522094916,avg_ssm_avg_ndvi,IN-02-0960,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.22952166468367827,-0.3139885355480744,avg_ssm_avg_ndvi,IN-02-0961,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.22342866909290207,-0.3352344785595709,avg_ssm_avg_ndvi,IN-02-0961,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.05053878033825472,0.057927668938505594,avg_ssm_avg_ndvi,IN-03-0121,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.2399323515670868,0.37776346903825914,avg_ssm_avg_ndvi,IN-03-0121,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.360655632542587,0.39102353261433676,avg_ssm_avg_ndvi,IN-03-0122,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.5343919940461841,0.3544829745806533,avg_ssm_avg_ndvi,IN-03-0122,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.02010962105728601,0.1711939960852205,avg_ssm_avg_ndvi,IN-03-0123,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.2236271851935853,0.4611876604851142,avg_ssm_avg_ndvi,IN-03-0123,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.3021757513629627,-0.17145375273451363,avg_ssm_avg_ndvi,IN-03-0124,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.18131656880213595,-0.35653985606794286,avg_ssm_avg_ndvi,IN-03-0124,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.4500326049315104,-0.18811886817224313,avg_ssm_avg_ndvi,IN-03-0125,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.333711622588947,-0.4049169381479071,avg_ssm_avg_ndvi,IN-03-0125,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.461038245933344,0.3853370494682645,avg_ssm_avg_ndvi,IN-03-0126,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.5653407702285755,0.3425211240151437,avg_ssm_avg_ndvi,IN-03-0126,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.39592495503153413,-0.5894362298967689,avg_ssm_avg_ndvi,IN-03-0128,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.20831467668491538,-0.5332405334845958,avg_ssm_avg_ndvi,IN-03-0128,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.10092906943949784,0.03656137415214561,avg_ssm_avg_ndvi,IN-03-0129,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.2057094531886336,0.21937874828257722,avg_ssm_avg_ndvi,IN-03-0129,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.18009616822210928,0.2008268126941763,avg_ssm_avg_ndvi,IN-03-0130,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.34075398919730665,0.1596535379958937,avg_ssm_avg_ndvi,IN-03-0130,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.09088496500704434,0.17741217666579473,avg_ssm_avg_ndvi,IN-03-0131,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.03881992956612886,0.049284268572321356,avg_ssm_avg_ndvi,IN-03-0131,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.3368502986472008,0.44225912447419563,avg_ssm_avg_ndvi,IN-03-0132,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.5614001873940591,0.5548016575459718,avg_ssm_avg_ndvi,IN-03-0132,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.26178112649046675,-0.017798906572957934,avg_ssm_avg_ndvi,IN-03-0133,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.4848919797162279,-0.42918543309432555,avg_ssm_avg_ndvi,IN-03-0133,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
